fecha,gym_id,sede,ciudad,provincia,membership,segmento_cliente,cliente_id,edad,genero,fecha_alta,antiguedad_meses,activo,promocion,canal,dispositivo,clima,feriado,indice_competencia,tendencia_busqueda,visitas_mes,tasa_participacion_clases,sesiones_personal_trainer,ingreso_membresia,ingreso_clases,ingreso_personal_trainer,ingreso_retail,ingreso_total,costo_staff,costo_alquiler,costo_servicios,costo_marketing,capex_asignado,costo_total,profit,nps,satisfaccion,riesgo_churn,cancelaciones,referidos,ocupacion,downtime_equipos
2024-01-01,GYM009,oberFiting - Neuquén,Neuquén,Neuquén,Mensual,Recurrente,C05611,32,M,2023-11-15,2,Sí,Sí,App,Mobile,Lluvioso,No,1.08,26,10,0.362,2,18000.0,2815.63,16496.62,5967.61,43279.86,8968.19,6397.66,1682.62,3390.74,3000,23439.21,19840.65,67,8,0.134,0,0,0.73,0.006
2024-01-01,GYM009,oberFiting - Neuquén,Neuquén,Neuquén,Mensual,Recurrente,C05820,29,F,2023-10-26,3,Sí,No,Llamada,Desktop,Nublado,No,1.05,52,6,0.339,0,20000.0,875.55,0.0,850.25,21725.8,9333.69,7436.48,3129.46,1279.78,3000,24179.41,-2453.61,53,8,0.216,0,0,0.58,0.022
2024-01-03,GYM010,oberFiting - Bariloche,Bariloche,Río Negro,Trimestral,Recurrente,C11824,36,F,2023-07-26,6,Sí,Sí,App,Desktop,Nublado,No,0.82,83,6,0.055,1,51300.0,187.71,6997.42,750.66,59235.79,11726.35,5483.52,2395.53,2480.08,0,22085.48,37150.31,45,8,0.294,0,0,0.63,0.059
2024-01-04,GYM004,oberFiting - Córdoba,Córdoba,Córdoba,Anual,Recurrente,C07921,21,M,2023-10-04,3,Sí,No,App,Mobile,Nublado,Sí,0.99,74,7,0.671,3,190000.0,4359.52,33166.93,10924.49,238450.94,8618.36,5635.11,1937.28,2499.63,0,18690.38,219760.56,42,8,0.213,0,0,0.61,0.037
2024-01-04,GYM006,oberFiting - Mendoza,Mendoza,Mendoza,Mensual,Recurrente,C09544,31,M,2023-10-06,3,No,Sí,Web,Desktop,Soleado,No,1.04,65,3,0.21,0,18000.0,450.93,0.0,8679.11,27130.04,9679.89,4306.84,2194.08,2129.77,0,18310.58,8819.46,39,7,0.289,1,0,0.54,0.002
2024-01-04,GYM003,oberFiting - Recoleta,Recoleta,CABA,Mensual,Recurrente,C05359,28,F,2023-11-23,2,Sí,No,App,Desktop,Frío,No,1.08,64,3,0.249,0,20000.0,1905.79,0.0,886.28,22792.07,7332.72,5574.33,3006.97,2451.37,5000,23365.39,-573.32,46,8,0.285,0,0,0.47,0.002
2024-01-05,GYM010,oberFiting - Bariloche,Bariloche,Río Negro,Premium,Nuevo,C01362,37,M,2023-08-25,5,No,No,Presencial,Mobile,Nublado,No,0.93,42,16,0.344,0,35000.0,2811.91,0.0,2867.39,40679.3,6917.01,5972.37,2303.42,367.06,3000,18559.86,22119.44,72,6,0.146,1,2,0.88,0.023
2024-01-05,GYM010,oberFiting - Bariloche,Bariloche,Río Negro,Premium,Recurrente,C10742,32,M,2023-08-25,5,Sí,No,App,Mobile,Frío,No,0.9,49,15,0.363,1,35000.0,1565.14,8657.93,2328.25,47551.32,8267.75,6000.16,2076.31,2111.66,0,18455.88,29095.44,36,8,0.084,0,0,0.83,0.029
2024-01-05,GYM008,oberFiting - Salta,Salta,Salta,Mensual,Recurrente,C11935,32,M,2023-11-03,2,Sí,Sí,App,Desktop,Soleado,No,0.96,53,8,0.594,0,17000.0,3908.69,0.0,3267.16,24175.85,7609.73,7414.23,2735.41,3394.31,0,21153.68,3022.17,37,8,0.151,0,0,0.69,0.018
2024-01-06,GYM010,oberFiting - Bariloche,Bariloche,Río Negro,Premium,VIP,C00438,24,M,2023-08-19,5,Sí,No,App,Desktop,Lluvioso,No,1.11,7,7,0.541,6,35000.0,2171.14,51704.66,7215.77,101091.57,9929.27,5909.51,2685.38,1560.27,0,20084.43,81007.14,63,8,0.226,0,0,0.59,0.025
2024-01-07,GYM004,oberFiting - Córdoba,Córdoba,Córdoba,Trimestral,Recurrente,C00559,20,M,2023-07-13,6,Sí,No,App,Desktop,Nublado,No,1.13,5,5,0.479,1,54000.0,2449.29,10814.31,2275.59,69539.19,7308.32,6908.9,1712.8,972.6,0,16902.62,52636.57,60,7,0.272,0,1,0.55,0.037
2024-01-07,GYM003,oberFiting - Recoleta,Recoleta,CABA,Anual,Recurrente,C00015,45,F,2023-09-30,4,Sí,No,App,Mobile,Soleado,No,0.81,25,6,0.428,1,190000.0,1677.05,6920.89,1787.9,200385.84,10792.24,6390.33,2862.77,2218.35,0,22263.69,178122.15,47,10,0.257,0,3,0.58,0.018
