anio,fecha,tienda_id,nombre_tienda,ciudad,estado,tipo_tienda,canal_venta,categoria,producto,marca,precio_lista,descuento_pct,precio_final,cantidad,ingreso_total,es_black_friday,es_cyber_monday,es_black_november,es_promocion,tipo_promocion,segmento_cliente,canal_pago,dia_semana,es_fin_de_semana
2023,2023-11-13,5,Walmart Supercenter Houston,Houston,Texas,Supercenter,Tienda,Tecnología,"Lenovo IdeaPad 3 15.6""",Lenovo,536.8,20.91,424.53,2,849.06,0,0,1,1,Black November,Joven,Tarjeta,0,0
2023,2023-11-24,6,Walmart Supercenter San Antonio,San Antonio,Texas,Supercenter,Online,Ropa,Parka acolchada invierno hombre,George,72.46,60.08,28.93,1,28.93,1,0,1,1,Black Friday,Adulto,Tarjeta,4,1
2024,2024-11-22,15,Walmart Neighborhood Market Austin,Austin,Texas,Neighborhood Market,Online,Electrónica,Apple iPhone 15 Pro 128GB,Apple,1227.44,47.35,646.24,1,646.24,1,0,1,1,Black Friday,Adulto,Tarjeta,4,1
2024,2024-11-15,14,Walmart Neighborhood Market Miami Beach,Miami Beach,Florida,Neighborhood Market,Tienda,Hogar,Philips Airfryer XL 4.2Qt,Philips,219.77,0.0,219.77,1,219.77,0,0,1,0,Sin promo,Joven,Tarjeta,4,1
2022,2022-11-25,6,Walmart Supercenter San Antonio,San Antonio,Texas,Supercenter,Tienda,Hogar,NutriBullet Blender Pro 900,NutriBullet,78.98,64.03,28.41,3,85.23,1,0,1,1,Black Friday,Senior,Tarjeta,4,1
2024,2024-11-22,15,Walmart Neighborhood Market Austin,Austin,Texas,Neighborhood Market,Tienda,Tecnología,"HP 15.6"" Laptop Ryzen 5",HP,851.71,61.62,326.88,1,326.88,1,0,1,1,Black Friday,Adulto,Online Pay,4,1
2024,2024-11-25,9,Walmart Supercenter Phoenix,Phoenix,Arizona,Supercenter,Tienda,Alimentos,Pack 24 latas Coca-Cola 355ml,Coca-Cola,8.77,47.69,4.59,1,4.59,0,1,1,1,Cyber Monday,Adulto,Tarjeta,0,0
2024,2024-11-22,3,Walmart Supercenter Orlando,Orlando,Florida,Supercenter,Tienda,Belleza,Plancha de cabello Remington,Remington,28.93,31.85,19.72,6,118.32,1,0,1,1,Black Friday,Joven,Online Pay,4,1
2022,2022-11-06,10,Walmart Supercenter Chicago,Chicago,Illinois,Supercenter,Tienda,Electrónica,Apple iPhone 15 Pro 128GB,Apple,976.29,0.0,976.29,1,976.29,0,0,1,0,Sin promo,Adulto,Tarjeta,6,1
2024,2024-11-25,2,Walmart Supercenter Miami,Miami,Florida,Supercenter,Online,Alimentos,Café molido Dunkin' 12oz,Dunkin',14.18,54.72,6.42,2,12.84,0,1,1,1,Cyber Monday,Joven,Online Pay,0,0
