Numero Cliente,Edad Cliente,Genero,Cant. Personas a Cargo,Nivel Educativo,Estado Civil,Rango Ingresos,Categoria Tarjeta,Antiguedad Cuenta,Total Productos Bancarios,Meses Inactivos Ultimo Año,Frecuencia de Contacto al Banco,Limite Credito,Saldo Pendiente Tarjeta,Promedio Credito Disponible,Cambio Monto Q4 Q1,Monto Total Transacciones,Numero Total Transacciones,Cambio Numero Transacciones Q4 Q1,Porcentaje Uso Credito
709106358,,Masculino,3,Sin Educación,Casado,$60K - $80K,Azul,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0
766628733,56.0,Masculino,3,Sin Educación,Soltero,$60K - $80K,Azul,49,3,3,3,1623.0,0,1623.0,1.058,4965,74,0.805,0.0
719761458,55.0,Masculino,4,Postgrado,Soltero,$60K - $80K,Azul,36,3,2,1,4998.0,1626,3372.0,0.695,4329,61,0.694,0.325
712222758,38.0,Femenino,3,Graduado,Casado,Menos de $40K,Azul,36,3,2,3,2300.0,0,2300.0,0.703,2500,47,0.119,0.0
718711158,52.0,Masculino,3,Graduado,Casado,Mas de $120K,Azul,36,1,2,3,3841.0,2517,1324.0,0.841,2680,51,0.545,0.655
716176683,,Masculino,4,Graduado,Soltero,$80K - $120K,Azul,33,5,1,1,2371.0,1748,623.0,0.663,4460,78,1.053,0.737
709690158,,Femenino,4,Graduado,Casado,Menos de $40K,Azul,36,6,1,2,4592.0,2517,2075.0,0.572,1470,33,0.737,0.548
780497958,41.0,Masculino,3,Secundaria,,$80K - $120K,Azul,28,1,3,3,16627.0,2118,14509.0,0.589,7996,99,0.597,0.127
713526258,47.0,Masculino,3,Sin Educación,Soltero,Mas de $120K,Azul,36,3,3,4,34516.0,0,34516.0,0.517,2020,33,0.375,0.0
713929533,36.0,Femenino,3,Universidad,Casado,Menos de $40K,Azul,36,2,2,2,1707.0,0,1707.0,0.319,2060,52,0.529,0.0
720487308,49.0,Masculino,1,Secundaria,Desconocido,$60K - $80K,Azul,38,3,3,2,15898.0,0,15898.0,1.049,4184,54,1.077,0.0
809459733,43.0,Femenino,4,Desconocido,Soltero,Menos de $40K,Azul,38,2,1,2,3220.0,0,3220.0,0.782,13339,90,0.698,0.0
793550958,47.0,Femenino,2,Graduado,Casado,Menos de $40K,Azul,41,5,3,4,1438.3,0,1438.3,0.8,1501,40,0.739,0.0
767695083,50.0,Masculino,2,Graduado,Casado,$80K - $120K,Azul,44,3,3,0,4589.0,0,4589.0,0.845,1590,37,0.37,0.0
713229633,45.0,Femenino,0,Desconocido,Casado,$40K - $60K,Azul,30,3,2,4,2759.0,0,2759.0,0.535,2061,47,0.424,0.0
711772983,43.0,Masculino,2,Secundaria,Soltero,$60K - $80K,Azul,35,5,2,2,1849.0,1293,556.0,0.835,4678,71,0.972,0.699
780897858,38.0,Femenino,2,Secundaria,Soltero,Menos de $40K,Azul,20,4,3,3,2420.0,676,1744.0,0.782,3770,76,0.81,0.279
718963158,49.0,Masculino,1,Desconocido,Soltero,Mas de $120K,Azul,40,5,3,1,34516.0,0,34516.0,0.759,3230,64,0.561,0.0
711393483,,Femenino,4,Desconocido,Divorciado,Menos de $40K,Azul,36,4,3,1,2432.0,0,2432.0,1.293,4340,76,0.767,0.0
803800533,39.0,Masculino,1,Desconocido,,$40K - $60K,Azul,33,3,3,4,2088.0,975,1113.0,1.144,2866,59,0.735,0.467
716474358,43.0,Femenino,3,Desconocido,Casado,Menos de $40K,Azul,35,5,3,2,1721.0,729,992.0,0.902,4853,74,0.644,0.424
716620458,32.0,Masculino,1,Secundaria,Soltero,Menos de $40K,Azul,23,3,2,3,4500.0,0,4500.0,0.626,2439,63,0.703,0.0
811762383,42.0,Femenino,2,Graduado,Casado,Menos de $40K,Azul,37,4,2,1,2250.0,1788,462.0,0.523,4908,71,1.152,0.795
720130233,,Masculino,2,Secundaria,Soltero,$60K - $80K,Azul,36,4,3,1,1641.0,0,1641.0,0.791,2536,45,0.364,0.0
779837808,53.0,Femenino,2,Secundaria,Casado,$40K - $60K,Azul,37,1,4,3,5182.0,2500,2682.0,0.869,5012,85,0.809,0.482
737052258,,Femenino,1,Desconocido,Soltero,Menos de $40K,Azul,55,6,1,1,5284.0,2517,2767.0,0.674,4525,63,0.537,0.476
713956308,65.0,Femenino,0,Graduado,Casado,Menos de $40K,Azul,49,4,2,2,3297.0,2297,1000.0,0.744,1894,56,0.556,0.697
713446083,,Femenino,4,Sin Educación,Desconocido,Desconocido,Azul,39,5,2,3,11545.0,1732,9813.0,0.871,3996,65,0.548,0.15
708455883,,Masculino,1,Graduado,Soltero,$80K - $120K,Azul,36,2,3,2,10244.0,861,9383.0,0.78,1127,29,0.381,0.084
779571708,,Masculino,5,Graduado,Casado,$60K - $80K,Azul,25,1,2,3,4259.0,0,4259.0,0.934,7993,71,0.651,0.0
